Edgecode;Motif
313313;E006
313314;E035
313321;C014
313322;B028
313323;B023
313324;B140
313331;C016
313332;B022
313333;B019
313334;B149
313341;C059
313342;B112
313343;B131
313344;B158
313411;J019
313412;E015
313413;E029
313414;E038
313421;C046
313422;B101
313423;B120
313424;B143
313431;C053
313432;B106
313433;B125
313434;B152
313441;C062
313442;B115
313443;B134
313444;B161
314111;M008
314112;F016
314113;F024
314114;F025
314121;D007
314122;C064
314123;C067
314124;C070
314131;D009
314132;C065
314133;C068
314134;C071
314141;D010
314142;C066
314143;C069
314144;C072
314211;J016
314212;E016
314213;E028
314214;E033
314221;C038
314222;B098
314223;B117
314224;B138
314231;C050
314232;B103
314233;B122
314234;B147
314241;C057
314242;B110
314243;B129
314244;B156
314311;J020
314312;E017
314313;E029
314314;E036
314321;C042
314322;B099
314323;B118
314324;B141
314331;C051
314332;B104
314333;B123
314334;B150
314341;C060
314342;B113
314343;B132
314344;B159
314411;J021
314412;E018
314413;E030
314414;E039
314421;C048
314422;B102
314423;B121
314424;B144
314431;C054
314432;B107
314433;B126
314434;B153
314441;C063
314442;B116
314443;B135
314444;B162
321112;I005
321113;I006
321114;I022
321121;J005
321122;H005
321123;H008
321124;H018
321131;J006
321132;H010
321133;H006
321134;H019
321141;J015
321142;H016
321143;H017
321144;H020
321211;J003
321212;C005
321213;C007
321214;C030
321221;E007
321222;B010
321223;B008
321224;B046
321231;E008
321232;B009
321233;B011
321234;B065
321241;E022
321242;B074
321243;B083
321244;B092
321311;J004
321312;C006
321313;C012
321314;C058
321321;E009
321322;B026
321323;B024
321324;B111
321331;E010
321332;B025
321333;B027
321334;B130
321341;E034
321342;B139
321343;B148
321344;B157
321411;J022
321412;C040
321413;C067
321414;C076
321421;E020
321422;B166
321423;B175
321424;B184
321431;E032
